Airline,Years_Active,First_Year,Last_Year,Total_Passengers,Total_Flights,Unique_Routes,Avg_Passengers_Per_Flight,Routes_Per_Million_Pax,Size_Category,Carrier_Type
LP,9,2014,2024,4188.0,25.0,10,167.52,2387.7745940783198,Small,Other
JJ,4,2018,2024,4005.0,14.0,4,286.07142857142856,998.7515605493134,Small,Other
KV,5,2017,2021,3810.0,65.0,35,58.61538461538461,9186.351706036745,Small,Other
LA,8,2014,2024,3439.0,17.0,9,202.2941176470588,2617.0398371619654,Small,Other
4B,7,2015,2021,3276.0,1017.0,40,3.221238938053097,12210.01221001221,Small,Other
DI,2,2018,2019,2785.0,10.0,8,278.5,2872.531418312388,Small,Other
LX,5,2020,2024,2399.0,13.0,11,184.53846153846155,4585.243851604835,Small,Other
XL,5,2015,2019,2339.0,12.0,6,194.91666666666663,2565.1988029072254,Small,Other
VB,5,2020,2024,2315.0,35.0,18,66.14285714285714,7775.3779697624195,Small,Other
SK,4,2014,2023,1889.0,8.0,3,236.125,1588.1418740074114,Small,Other
8D,2,2015,2016,1854.0,851.0,2,2.1786133960047005,1078.7486515641856,Small,Other
G3,5,2019,2024,1737.0,17.0,5,102.17647058823528,2878.526194588371,Small,Other
DE,7,2015,2024,1670.0,8.0,7,208.75,4191.616766467066,Small,Other
17,2,2014,2015,1574.0,61.0,12,25.80327868852459,7623.888182973316,Small,Other
EM,7,2014,2020,1519.0,1915.0,6,0.7932114882506528,3949.9670836076366,Small,Other
RS,1,2017,2017,1334.0,26.0,18,51.30769230769231,13493.253373313344,Small,Other
UX,3,2018,2023,1026.0,4.0,3,256.5,2923.9766081871344,Small,Other
AY,2,2014,2018,860.0,4.0,3,215.0,3488.372093023256,Small,Other
V2,1,2014,2014,671.0,7.0,5,95.85714285714286,7451.564828614009,Small,Other
QK,5,2014,2023,609.0,12.0,11,50.75,18062.3973727422,Small,Other
JL,2,2022,2023,602.0,7.0,1,86.0,1661.1295681063125,Small,Other
KE,1,2023,2023,526.0,2.0,2,263.0,3802.2813688212927,Small,Other
WS,5,2017,2024,522.0,8.0,8,65.25,15325.670498084291,Small,Other
AN,7,2018,2024,436.0,153.0,30,2.849673202614379,68807.33944954128,Small,Other
4C,2,2014,2016,421.0,2.0,2,210.5,4750.593824228029,Small,Other
4M,1,2017,2017,409.0,2.0,1,204.5,2444.9877750611245,Small,Other
1BQ,2,2020,2022,405.0,4.0,4,101.25,9876.543209876543,Small,Other
SE,3,2014,2019,350.0,3.0,3,116.66666666666669,8571.42857142857,Small,Other
TA,2,2023,2024,325.0,3.0,3,108.33333333333331,9230.76923076923,Small,Other
NZ,1,2014,2014,320.0,1.0,1,320.0,3124.9999999999995,Small,Other
VA,1,2017,2017,279.0,1.0,1,279.0,3584.229390681004,Small,Other
AB,2,2014,2016,240.0,2.0,2,120.0,8333.333333333334,Small,Other
SV,1,2014,2014,189.0,1.0,1,189.0,5291.005291005291,Small,Other
D8,2,2017,2018,186.0,2.0,2,93.0,10752.688172043012,Small,Other
ALV,1,2020,2020,176.0,1.0,1,176.0,5681.818181818182,Small,Other
AJQ,2,2017,2018,173.0,4.0,2,43.25,11560.693641618496,Small,Other
ZX,2,2015,2016,52.0,9.0,8,5.777777777777778,153846.15384615384,Small,Other
BW,1,2022,2022,48.0,1.0,1,48.0,20833.33333333333,Small,Other
TI,5,2019,2024,37.0,213.0,6,0.1737089201877934,162162.16216216216,Small,Other
ZK,3,2015,2017,20.0,7.0,5,2.857142857142857,250000.0,Small,Other
TQ,2,2021,2022,17.0,8.0,4,2.125,235294.11764705885,Small,Other
KS,1,2017,2017,8.0,1.0,1,8.0,125000.0,Small,Other
H6,1,2017,2017,2.0,4.0,1,0.5,500000.0,Small,Other
LY,2,2020,2021,0.0,22.0,7,0.0,inf,,Other
Y4,2,2014,2017,0.0,6.0,4,0.0,inf,,Other
O6,1,2019,2019,0.0,1.0,1,0.0,inf,,Other
EY,1,2022,2022,0.0,1.0,1,0.0,inf,,Other
OJ,1,2018,2018,0.0,2.0,2,0.0,inf,,Other
LO,1,2017,2017,0.0,1.0,1,0.0,inf,,Other
RJ,1,2018,2018,0.0,1.0,1,0.0,inf,,Other
